date,press_emb_0,press_emb_1,press_emb_2,press_emb_3,press_emb_4,press_emb_5,press_emb_6,press_emb_7,press_emb_8,press_emb_9,press_emb_10,press_emb_11,press_emb_12,press_emb_13,press_emb_14,press_emb_15,press_emb_16,press_emb_17,press_emb_18,press_emb_19,press_emb_20,press_emb_21,press_emb_22,press_emb_23,press_emb_24,press_emb_25,press_emb_26,press_emb_27,press_emb_28,press_emb_29,press_emb_30,press_emb_31
2023-10-30,-0.47908437,0.70675904,-0.31167227,-0.28216052,0.31613967,0.19202927,-0.0063913874,-0.25910804,-0.16406715,0.24466702,-0.1443493,-0.48729935,-0.4341951,-0.0099258125,-0.22423473,0.2379261,0.4685532,-0.8609743,-0.50903505,-0.026648624,-0.020868309,-0.23400287,-0.49488473,-0.29696542,0.089975566,-0.103183635,0.51425993,0.45245174,-0.42282388,-0.25451073,-0.20810062,0.62734187
2023-10-31,-0.29507858,1.0809019,0.5739095,-0.7959636,0.6203565,0.022527564,0.2156176,0.05252971,0.097006276,0.8539809,0.040300056,0.29576176,-0.20450443,-0.06289616,-0.33517885,-0.09341283,-0.3072328,-0.5875658,-0.80427563,0.47901285,0.20696248,-0.8729246,-0.16985136,-0.50866747,-0.35766292,0.41390556,0.076134466,-0.33092028,0.18304414,-0.67793626,-0.06649649,0.06803767
2023-11-01,-0.08148223,0.3880472,-0.19712302,-0.46912962,0.2711988,0.22606663,-0.22868413,0.0508161,-0.053779185,0.12315629,-0.3619479,0.025294699,-0.102972396,-0.17991385,-0.13957432,0.091986395,-0.020653035,-0.40006375,-0.431032,0.101554036,0.327405,-0.09347597,-0.27326745,-0.3252308,-0.45381016,0.24805793,0.22040641,0.22806205,0.055692635,-0.45687258,-0.08784713,0.24402249
2023-11-02,-0.31771865,0.45841113,-0.32067484,-0.43181103,0.203922,0.14959247,-0.09073748,-0.04785672,-0.15083367,0.10368375,-0.11222248,-0.31987366,-0.32418674,0.26626873,-0.09333409,0.104011625,0.25916693,-0.5793196,-0.36929733,-0.18677583,-0.13715728,0.059134774,-0.3787443,0.034534276,0.08541611,-0.23024708,0.31992596,0.37880912,-0.4167821,-0.074065275,-0.30986813,0.34600505
2023-11-03,-0.07689498,0.6142755,0.10473657,-0.88814396,0.27348602,-0.088511184,-0.082652524,0.39009118,-0.0017501861,0.23426306,0.14290945,0.08277961,-0.12952453,0.49882215,0.18093303,-0.2601893,-0.35108048,-0.22380543,-0.3205617,0.017632198,-0.15569593,-0.13638781,-0.23488262,0.19212678,0.09360902,-0.24170443,-0.14417525,-0.13942038,-0.38726667,-0.08159313,-0.44749266,-0.17634618
2023-11-04,-1.0246494,1.0103804,0.56761444,-0.416457,0.8538681,0.009698015,-0.10507369,0.14446001,0.31526482,1.3999739,0.14671452,0.56564844,-0.8858402,-0.5096778,-1.2096972,0.16165324,-0.49737698,0.3751921,-1.7166953,-0.20094177,-0.28347003,-0.076655895,0.44558078,-0.20391117,-0.85584205,0.20949331,0.07987879,-0.45837307,0.42880106,-0.48247695,-0.3782574,-0.15075049
2023-11-05,-0.07817271,0.2788198,-0.063591495,-0.67671067,0.23914516,-0.045994785,-0.36826986,0.19535886,0.18893804,-0.04907195,0.010372691,-0.0572484,-0.052065812,0.18216781,-0.013886586,0.022631645,-0.10220744,-0.32934824,-0.18403131,-0.22141884,-0.24486984,-0.084460795,-0.20055014,-0.11457385,-0.16641928,-0.04875523,-0.02220932,0.20242035,-0.10468569,-0.0659041,-0.42899555,0.11381572
2023-11-06,-0.42567962,0.52422047,-0.39218375,-0.33904064,0.28859326,0.21678412,-0.11259325,-0.22639094,-0.08142409,0.093765356,-0.24119745,-0.4041882,-0.3832535,-0.01801847,-0.22389099,0.23566972,0.43839467,-0.7364768,-0.44913226,-0.12635407,-0.0201696,-0.060283467,-0.44080108,-0.15305975,-0.05251874,-0.07694677,0.47660467,0.5224326,-0.277005,-0.24435318,-0.23571104,0.6073431
2023-11-07,-1.3938284,1.2856199,0.33590814,-0.28179497,1.0284275,0.11856602,-0.1429985,-0.43561396,0.29231143,1.4108162,0.011185631,0.0338156,-1.0798031,-0.55826616,-1.5961677,0.5897067,0.24859862,-0.5730041,-1.7343507,-0.20778358,-0.474086,-0.5246734,-0.028545521,-0.6867606,-0.6642526,0.15302072,0.74214935,0.14690472,0.19310075,-0.6221166,-0.35325763,0.70905215
2023-11-08,-0.6508978,1.0119046,0.0060725063,-1.1735728,0.6550758,-0.14736716,-0.3474598,0.4951486,0.3817898,0.39376527,0.05235879,0.13183743,-0.554187,0.23445342,-0.009723753,-0.2671243,-0.3592172,-0.053454436,-0.88454103,-0.23021555,-0.2968269,0.0020605735,-0.15243906,0.29372674,-0.19841288,-0.2867735,-0.10470248,-0.022849172,-0.2910672,-0.3029678,-0.8901473,0.049216233
